en_form,domain,en_sense,de_aligned_forms,de_aligned_counts,example_en_sentence,example_de_sentence,n_instances,total_en_form_instances_in_domain,pct_of_form_in_domain
interested,Art,Affect,"interessiert, möchte","interessiert:3, möchte:1","In my own case , I 'm an artist , and I 'm really interested in expanding the vocabulary of human action , and basically empowering people through interactivity .","Was mich angeht : Ich bin Künstler und sehr daran interessiert , das Vokabular der menschlichen Aktion zu erweitern und den Menschen durch Interaktivität ihre Stärken aufzuzeigen .",5,6,0.8333
interested,Art,Judgement,,,,,0,6,0.0
interested,Art,Appreciation,interessiert,interessiert:1,Nobody was interested .,Niemand war interessiert .,1,6,0.1667
old,Art,Affect,,,,,0,9,0.0
old,Art,Judgement,alt,alt:7,"For obvious reasons , it does n't seem that old anymore to me .",Aus leicht ersichtlichen Gründen empfinde ich das nicht mehr als alt .,7,9,0.7778
old,Art,Appreciation,alt,alt:2,"This is 20 years old , so it 's kind of a -- Let 's see , this is — I love the French film "" The Red Balloon . ""","Das ist 20 Jahre alt ; also ist es eine Art von – Mal schauen , dies ist – Ich liebe den französischen Film "" Der rote Luftballon "" .",2,9,0.2222
proud,Art,Affect,stolz,stolz:2,"I do n't really -- I mean , I could tell you that I did n't understand , I 'm not proud of it , but I did n't understand let 's say 95 percent of the talks at this conference .","Ich -- ich meine , ich könnte Ihnen sagen , dass ich nichts verstanden habe -- Ich bin nicht stolz darauf , aber ich habe bestimmt 95 Prozent der Vorträge auf dieser Konferenz nicht verstanden .",2,6,0.3333
proud,Art,Judgement,"stolz, stolzer","stolz:1, stolzer:1",They could n't have been more proud .,Sie hätten nicht stolzer sein können .,3,6,0.5
proud,Art,Appreciation,stolz,stolz:1,"My grandparents were very proud , and I moved to Boston , and I set up shop .","Meine Großeltern waren sehr stolz , ich zog nach Boston und richtete mich dort ein .",1,6,0.1667
right,Art,Affect,,,,,0,5,0.0
right,Art,Judgement,gut,gut:1,"If you hit G , life 's okay , so I always say , "" Hit G , and it 's going to be all right .","Drück G und das Leben ist okay , sage ich immer so , "" Drück G und alles wird gut . """,1,5,0.2
right,Art,Appreciation,"okay, Recht, dagegen","okay:2, Recht:1, dagegen:1","And the premise of M&amp ; Co was , we do n't know anything , but that 's all right , we 're going to do it anyway .","Und die Prämisse von M &amp ; Company war , dass wir von nichts eine Ahnung hatten , aber das ist schon okay , wir machen es trotzdem .",4,5,0.8
sure,Art,Affect,"dass, sicher","dass:1, sicher:1","It does n't matter what your religion is ; even if you 're an atheist , you do n't raise your kid telling him , you know , "" Make sure you lie three times a day . ""","Deine Religion spielt keine Rolle , auch wenn du Atheist bist , bringst du deinem Kind nicht bei drei Mal an dem Tag zu lügen .",5,5,1.0
sure,Art,Judgement,,,,,0,5,0.0
sure,Art,Appreciation,,,,,0,5,0.0
true,Art,Affect,zutrifft,zutrifft:1,"But the second part of it -- and the older I get , the more convinced I am that that 's true . It 's amazing what people will say when they know how the story turned out .","Aber der zweite Grund -- und je älter ich werde , desto überzeugter bin ich , dass er zutrifft -- ist , dass es erstaunlich ist , was Menschen sagen , wenn sie wissen , wie die Geschichte endet .",1,8,0.125
true,Art,Judgement,wahr,wahr:1,"So now , my friends , if that is true , and it is true , what is the point ? ""","Also nun , meine Freunde , wenn das wahr ist , und es ist wahr , was ist dann der Zweck ? """,2,8,0.25
true,Art,Appreciation,"wahr, auch, einfach, stimmt","wahr:2, auch:1, einfach:1, stimmt:1",That 's true .,Das stimmt .,5,8,0.625
wrong,Art,Affect,"falsch, unrecht","falsch:3, unrecht:1","And it says , "" Ich habe genug , "" which is a Bach cantata , which I once thought meant "" I 've had it , I ca n't take it anymore , give me a break , "" but I was wrong .","Und hier heißt es , Ich habe genug , und das ist eine Bach Kantate , wovon ich früher dachte , dass es bedeuten würde : ich habe es satt , ich kann nicht mehr , verschone mich , aber da hatte ich unrecht .",4,7,0.5714
wrong,Art,Judgement,"Unrecht, falsch","Unrecht:2, falsch:1",And he was n't wrong .,Und er hatte nicht Unrecht .,3,7,0.4286
wrong,Art,Appreciation,,,,,0,7,0.0
able,Bus,Affect,Lage,Lage:1,And the more we 're able to be choosy about choosing the better we will be able to practice the art of choosing .,"Und je mehr wir bei dem Auswählen wählerisch sind , desto besser werden wir in der Lage sein , die Kunst der Entscheidung zu üben .",2,6,0.3333
able,Bus,Judgement,,,"That in order for people to understand the differences between the choices , they have to be able to understand the consequences associated with each choice , and that the consequences need to be felt in a vivid sort of way , in a very concrete way .","Es geht dabei darum , dass Menschen , um den Unterschied zwischen Möglichkeiten zu verstehen , verstehen müssen , welche Konsequenzen mit den einzelnen Möglichkeiten assoziiert sind , und das diese Konsequenzen lebhaft und konkret gefühlt werden müssen .",1,6,0.1667
able,Bus,Appreciation,"können, imstande","können:2, imstande:1","So the implications of that are vast , because it means that this is where employment is 1.8 billion people and this is where we can create a more egalitarian world , because people are actually able to earn money and live and thrive , as Andrew Saboru did .","Die Auswirkungen sind enorm , weil das bedeutet , dass hier ein Arbeitsmarkt mit 1,8 Milliarden Menschen besteht und dass wir hier eine harmonisiertere Welt aufbauen können , weil Menschen hier wirklich Geld verdienen und leben und gedeihen können , genauso wie Andrew Saboru .",3,6,0.5
available,Bus,Affect,,,,,0,4,0.0
available,Bus,Judgement,zu Verfügung,zu Verfügung:1,"And the peers also become , peers and owners create relationships , and so at the last minute people can -- a driver can say , "" Hey , you know what , I really need the car , is it available ? ""","Und so wird aus Peers mehr , Peers und Eigentümer schaffen Beziehungen , und so können Leute in letzer Minute etwa – ein Fahrer kann sagen : "" Hey , wissen Sie , ich brauch wirklich Ihr Auto , steht 's zu der Verfügung ? """,1,4,0.25
available,Bus,Appreciation,"zugänglich, öffentlich","zugänglich:1, öffentlich:1","Just to give you an example , this is an email from Jim Haskel -- somebody who works for me -- and this was available to everybody in the company .",Als Beispiel ist hier eine E - Mail von Jim Haskel -- der für mich arbeitet -- die der ganzen Firma zugänglich war .,3,4,0.75
better,Bus,Affect,"besser, lernen, wenig","besser:1, lernen:1, wenig:1",Mastery : the desire to get better and better at something that matters .,"Überlegenheit : der Wunsch , besser und besser bei etwas Bedeutungsvollem zu werden .",3,14,0.2143
better,Bus,Judgement,besser,besser:2,"They 're more likely to choose things that make them less satisfied , even when they do objectively better .","Sie entscheiden sich eher für Dinge , die sie selbst weniger zufrieden stellen , selbst , wenn sie es objektive besser machen .",2,14,0.1429
better,Bus,Appreciation,"besser, profitieren","besser:8, profitieren:1",The quality of the tomato paste is much better ; the spice mix is far superior ; it adheres to the pasta in a much more pleasing way .,"Die Qualität des Tomatenmarks ist viel besser , die Gewürzmischung weit überlegen , es haftet viel gefälliger an der Pasta .",9,14,0.6429
blind,Bus,Affect,"farbenblind, blind","farbenblind:2, blind:1","So when I ask you a question , since I 'm blind , only raise your hand if you want to burn off some calories .","Wenn ich Ihnen eine Frage stelle , heben Sie , da ich blind bin , nur die Hand , wenn Sie einige Kalorien verbrennen möchten .",3,4,0.75
blind,Bus,Judgement,,,,,0,4,0.0
blind,Bus,Appreciation,Farbenblind,Farbenblind:1,Color blind or color brave ?,Farbenblind oder farboffen ?,1,4,0.25
different,Bus,Affect,anders,anders:1,I guess my cancer different from your cancer .,Inwiefern verläuft meine Krebserkrankung anders als Ihre .,1,9,0.1111
different,Bus,Judgement,"anders, unterschiedlich","anders:3, unterschiedlich:1","So let me take you back how it 's so incredibly different building Buzzcar than it was building Zipcar , because now every single thing we do has these two different bodies that I have to be thinking about : the owners who are going to provide the cars and the drivers who are going to rent them .","Lassen Sie sich zurückversetzen , warum es so unglaublich anders war Buzzcar aufzubauen , als Zipcar , weil jetzt jede einzelne Sache , die wir tun , diese zwei verschiedenen Seiten hat , an die ich zu denken habe : Die Eigentümer , die die Autos zu der Verfügung stellen werden , und die Fahrer , die diese Autos ausleihen werden .",4,9,0.4444
different,Bus,Appreciation,"Unterschiede, anders, sich, unterschiedlichen","Unterschiede:1, anders:1, sich:1, unterschiedlichen:1","And the first thing I do is I ask the employees , "" Tell me how these choices are different from one another .","Und das erste was ich die Angestellten frage ist , "" Sagen Sie mir , wie die Möglichkeiten sich von einander unterscheiden .",4,9,0.4444
easy,Bus,Affect,einfachen,einfachen:1,"If I start you off easy , I learn how to choose .","Wenn ich mit dem einfachen anfange , lerne ich wie ich auswähle .",1,7,0.1429
easy,Bus,Judgement,"einfach, leicht","einfach:1, leicht:1","Because when the tacks are out of the box , it 's pretty easy is n't it ?","Wenn die Heftzwecken nicht in der Schachtel sind , ist es ziemlich einfach , oder ?",2,7,0.2857
easy,Bus,Appreciation,"leicht, einfach, einfaches","leicht:2, einfach:1, einfaches:1","They think , "" Well , you know , figuring out what people think about cola 's not that easy . "" "" You know , maybe we made an error somewhere along the way . "" "" You know , let 's just make an educated guess , "" and they simply point and they go for 10 percent , right in the middle .","Sie denken sich , also gut , es ist nicht so leicht rauszufinden , was die Leute von Cola halten . Man kann nie wissen , vielleicht haben wir zwischendurch einen Fehler gemacht . Also müssen wir einfach eine begründete Schätzung treffen , und dann zeigen sie einfach in die Mitte und nehmen zehn Prozent , ganz in der Mitte .",4,7,0.5714
fine,Bus,Affect,okay,okay:1,"I had a good a network , a good reputation -- I thought I 'd be just fine .","Ich hatte ein gutes Netzwerk , einen guten Ruf -- Ich dachte , alles wäre okay .",1,3,0.3333
fine,Bus,Judgement,,,,,0,3,0.0
fine,Bus,Appreciation,"gut, schön gut","gut:1, schön gut:1",That 's actually fine for many kinds of 20th century tasks .,Das ist in der Tat gut für viele Arten von Aufgaben des 20 . Jahrhunderts .,2,3,0.6667
good,Bus,Affect,schlecht,schlecht:1,"And I did n't like following instructions , I was no good at following instructions .","Ich befolgte nicht gerne Anweisungen . Ich war schlecht darin , Anweisungen zu folgen .",1,3,0.3333
good,Bus,Judgement,gut,gut:1,Now choosing not to buy a jar of jam is probably good for us -- at least it 's good for our waistlines -- but it turns out that this choice overload problem affects us even in very consequential decisions .,"Nun , sich zu entscheiden kein Glas Marmelade zu kaufen ist wahrscheinlich gut für uns -- zumindest ist es gut für unsere Taille -- aber es stellt sich heraus , dass das Entscheidungsüberlastungsproblem uns auch bei sehr konsequenzreichen Entscheidungen beeinflusst .",1,3,0.3333
good,Bus,Appreciation,gut,gut:1,"And this was not good enough for him , and this question bedeviled him for years .","Und das Ergebnis war ihm nicht gut genug , so dass er von dieser Frage für viele Jahre besessen blieb .",1,3,0.3333
great,Bus,Affect,,,,,0,6,0.0
great,Bus,Judgement,,,,,0,6,0.0
great,Bus,Appreciation,großartig,großartig:6,Is n't that great ?,Ist das nicht großartig ?,6,6,1.0
happier,Bus,Affect,glücklicher,glücklicher:2,"So almost everywhere we look , we see that giving money away makes you happier than keeping it for yourself .","Also nahezu überall , wo wir hinsehen , erkennen wir , dass es uns glücklicher macht , Geld wegzugeben , als es für uns selbst zu behalten .",2,4,0.5
happier,Bus,Judgement,glücklicher,glücklicher:1,"Let 's have some people do what they usually do , spend money on themselves , and let 's make some people give money away , and measure their happiness and see if , in fact , they get happier .","Lassen wir ein paar Leute das machen , was sie normalerweise tun und Geld für sich ausgeben , und lassen wir ein paar Leute Geld für andere ausgeben , und dann finden wir heraus , welche Gruppe glücklicher ist .",1,4,0.25
happier,Bus,Appreciation,glücklicher,glücklicher:1,"People who spent money on others got happier ; people who spent it on themselves , nothing happened .","Leute , die das Geld für andere ausgaben , wurden glücklicher .",1,4,0.25
happy,Bus,Affect,glücklich,glücklich:8,"But I was thinking about this , and I realized that although my new book makes me happy , and I think would make my mother happy , it 's not really about happiness .","Aber dann habe ich nochmal überlegt und festgestellt , dass , auch wenn mich mein neues Buch glücklich macht und ich auch glaube , dass es meine Mutter glücklich machen wird , es darin trotzdem nicht um das Glücklichsein geht .",8,12,0.6667
happy,Bus,Judgement,glücklich,glücklich:2,"It did n't make them less happy , it just did n't do much for them .","Bei Leuten , die das Geld für sich ausgaben , geschah nichts . Es machte sie nicht weniger glücklich , es brachte ihnen einfach nicht viel .",2,12,0.1667
happy,Bus,Appreciation,glücklich,glücklich:2,"But I was thinking about this , and I realized that although my new book makes me happy , and I think would make my mother happy , it 's not really about happiness .","Aber dann habe ich nochmal überlegt und festgestellt , dass , auch wenn mich mein neues Buch glücklich macht und ich auch glaube , dass es meine Mutter glücklich machen wird , es darin trotzdem nicht um das Glücklichsein geht .",2,12,0.1667
important,Bus,Affect,,,,,0,11,0.0
important,Bus,Judgement,wichtig,wichtig:2,"It is , in fact , enormously important .",Es ist in der Tat sehr wichtig .,2,11,0.1818
important,Bus,Appreciation,"wichtig, Rolle, interessant, wichtiger","wichtig:6, Rolle:1, interessant:1, wichtiger:1","And third is , and I 'm taking this from the great American beat poet Allen Ginsberg , that alternate economies barter and different kinds of currency , alternate currencies are also very important , and he talked about buying what he needed just with his good looks .","Drittens sagte der große amerikanische Poet der Beat Generation Allen Ginsberg , dass alternative Wirtschaften Tauschhandel treiben und verschiedene Formen alternativer Währungen eine große Rolle spielen . Er sagte immer , dass er oft mit seinem guten Aussehen einkaufte .",9,11,0.8182
likely,Bus,Affect,,,,,0,8,0.0
likely,Bus,Judgement,schlechtere,schlechtere:1,They 're more likely to delay choosing -- procrastinate even when it goes against their best self - interest .,"Sie schieben die Entscheidung auf -- schieben sie auf , selbst wenn es gegen ihr eigenes bestes Interesse geht .",3,8,0.375
likely,Bus,Appreciation,"Wahrscheinlichkeit, kauften","Wahrscheinlichkeit:1, kauften:1","First , in which case were people more likely to stop , sample some jam ?","Erstens , ich welchem Fall würden mehr Menschen stehen bleiben und Marmelade probieren ?",5,8,0.625
old,Bus,Affect,alt,alt:2,"It was late 1970s , I was 34 years old , and I had calculated that American banks had lent much more money to emerging countries than those countries were going to be able to pay back and that we would have the greatest debt crisis since the Great Depression . And with it , an economic crisis and a big bear market in stocks .","Es war Ende der 1970er , ich war 34 Jahre alt und hatte kalkuliert , dass amerikanische Banken Schwellenländern mehr Geld geliehen hatten als diese jemals würden zurückzahlen können und dass wir die größte Schuldenkrise seit der Weltwirtschaftskrise erleben würden und somit eine Wirtschaftskrise und somit eine Baisse auf dem Aktienmarkt .",2,5,0.4
old,Bus,Judgement,alt,alt:2,"Jenipher is 65 years old , and for decades has been running a food stall in the central business district .",Jenipher ist 65 Jahre alt und führt seit Jahrzehnten einen Imbissstand in dem zentralen Geschäftsviertel .,3,5,0.6
old,Bus,Appreciation,,,,,0,5,0.0
possible,Bus,Affect,,,,,0,3,0.0
possible,Bus,Judgement,,,,,0,3,0.0
possible,Bus,Appreciation,möglich,möglich:3,This would not be possible to do that in economic fashion for a traditional company .,"Das wäre nicht möglich gewesen , wenn wir die Wirtschaftsweise eines traditionellen Unternehmens beibehalten hätten .",3,3,1.0
real,Bus,Affect,"real, realer","real:1, realer:1",Because the pictures made it feel more real to you .,Denn die Bilder liessen es für Sie realer empfinden .,2,5,0.4
real,Bus,Judgement,"realer, wahr","realer:1, wahr:1","Now in fact , you had objectively more information the first time around than the second time around , but I would venture to guess that you felt that it was more real the second time around .","Tatsache ist , das Sie objektiv betrachtet , bei dem ersten Mal mehr Informationen hatten , als bei dem zweiten Mal , aber ich würde es wagen zu raten , dass Sie es bei dem zweiten Mal realer empfanden .",2,5,0.4
real,Bus,Appreciation,real,real:1,"So when we look at this and step back , what I believe is that the crisis that exists today is definitely real .","Wenn wir uns das also ansehen , und einen Schritt zurück machen , was ich glaube , ist dass die aktuelle Krise auf jeden Fall real ist .",1,5,0.2
rid,Bus,Affect,"Kameradschafts, los, loszuwerden","Kameradschafts:1, los:1, loszuwerden:1","But in fact , what we 're seeing more and more is that if you are willing to cut , get rid of those extraneous redundant options , well there 's an increase in sales , there 's a lowering of costs , there is an improvement of the choosing experience .","Aber in Wahrheit , sehen wir es immer mehr und mehr , dass wenn Sie bereit sind sich zu beschränken , und die unwichtigen gleichartigen Möglichkeiten los werden , nun , dann gibt es einen Anstieg der Verkaufszahlen , es werden die Kosten gesenkt , &amp;und es gibt eine Verbesserung der Entscheidungswahrnehmung .",5,6,0.8333
rid,Bus,Judgement,loswurde,loswurde:1,"When the Golden Cat Corporation got rid of their 10 worst - selling cat litter products , they saw an increase in profits by 87 percent -- a function of both increase in sales and lowering of costs .","Als die Golden Cat Corporation ihr 10 an dem schlechtesten verkauften Katzenstreus loswurde , erlebten Sie , dass die Gewinne um 87 Prozent anstiegen -- ein Ergebnis von beidem , dem Anstieg der Verkaufszahlen und der Reduzierung von Kosten .",1,6,0.1667
rid,Bus,Appreciation,,,,,0,6,0.0
right,Bus,Affect,"recht, ordentlich","recht:2, ordentlich:1",It took me a year and a half to get the insurance just right .,"Ich brauchte 1,5 Jahre , um die Versicherung ordentlich aufzusetzen .",3,4,0.75
right,Bus,Judgement,,,,,0,4,0.0
right,Bus,Appreciation,recht,recht:1,"They see their own opinions as just one of many and naturally start asking themselves , "" How do I know my opinion is right ? ""","Sie sehen ihre Meinung als eine von vielen und fragen sich natürlich : "" Wie weiß ich , dass ich recht habe ? """,1,4,0.25
willing,Bus,Affect,bereit,bereit:3,"It also gets me excited about this big product that I 'm putting together , so I 'm more willing to be motivated to be engaged .","Es versetzt mich auch in Aufregung über das große Produkt , das ich zusammenstelle , und so bin ich bereit mich dazu motivieren zu lassen mit Interesse dabei zu sein .",3,6,0.5
willing,Bus,Judgement,bereit,bereit:2,And Gary said that he would be willing to offer people in this audience an all - expenses - paid free vacation to the most beautiful road in the world .,"Und Gary sagte , dass er bereit wäre allen Menschen in diesem Publikum einen All - inklusive bezahlten Urlaub zu der schönsten Straße der Welt anzubieten .",2,6,0.3333
willing,Bus,Appreciation,bereit,bereit:1,"By looking beyond income , we can see that people in emerging markets that may seem risky and unpredictable on the surface are actually willing and have the capacity to repay .","Da wir mehr als das Einkommen betrachten , sehen wir , dass Menschen in aufstrebenden Märkten , die oberflächlich betrachtet riskant und unberechenbar erscheinen , tatsächlich zu Rückzahlungen bereit und fähig sind .",1,6,0.1667
wrong,Bus,Affect,"falsch, geirrt, total","falsch:2, geirrt:1, total:1","We 've been thinking all wrong ! ""","Wir haben die ganze Zeit über falsch gelegen ! """,4,9,0.4444
wrong,Bus,Judgement,,,,,0,9,0.0
wrong,Bus,Appreciation,falsch,falsch:5,"And he would think it through and say , "" What was wrong ?","Er würde darüber nachdenken und sich fragen , was ist falsch gelaufen ?",5,9,0.5556
able,Edu,Affect,"ermöglichte, können","ermöglichte:1, können:1",And the key reason we were able to it was not only rising incomes but also a few key breakthroughs : vaccines that were used more widely .,"Der Hauptgrund der uns dies ermöglichte war nicht nur Einkommenssteigerung , sondern auch einige zentrale Durchbrüche : Impfstoffe wurden großräumig und häufiger eingesetzt .",2,6,0.3333
able,Edu,Judgement,fähig,fähig:1,"They found resources like Khan Academy and they were able to fill in those gaps and master those concepts , and that reinforced their mindset that it was n't fixed ; that they actually were capable of learning mathematics .","Sie fanden Hilfe , z. B. bei Khan Academy . So füllten sie diese Lücken und beherrschten danach diese Konzepte . Das stärkte ihre Einstellung , es sei nicht vorbestimmt ; sie seien tatsächlich fähig , Mathematik zu lernen .",1,6,0.1667
able,Edu,Appreciation,in Lage,in Lage:1,"He taught mechanics in a high school in Long Beach , and found that his students were no longer able to solve problems .","Er hat in einer Schule in Long Beach Werken unterrichtet , und entdeckt , dass seine Schüler nicht mehr in der Lage waren , Probleme zu lösen .",3,6,0.5
afraid,Edu,Affect,"Angst, Angst der, glauben, traue nicht, zerstreut","Angst:3, Angst der:1, glauben:1, traue nicht:1, zerstreut:1",We ca n't be afraid of our students ' power .,Wir dürfen keine Angst vor der Macht unserer Schüler haben .,7,7,1.0
afraid,Edu,Judgement,,,,,0,7,0.0
afraid,Edu,Appreciation,,,,,0,7,0.0
